,Industry,No. of Jobs
14, Bán hàng,5957
19, Tư vấn,3950
8, Dịch vụ khách hàng,2530
18, Tiếp thị,1984
13, Tài chính / Đầu tư,1696
31, Dược / Sinh học,1529
11, Kế toán / Kiểm toán,1521
33, Kỹ thuật ứng dụng / Cơ khí,1454
10, Bảo hiểm,1418
25, CNTT - Phần mềm,1399
32, Điện / Điện tử,1324
6, Bán lẻ / Bán sỉ,1287
16, Quảng cáo / Khuyến mãi / Đối ngoại,1257
52, Mới tốt nghiệp / Thực tập,1238
4, Thư ký / Hành chánh,1160
0, Biên phiên dịch / Thông dịch viên,1015
42, Sản xuất / Vận hành sản xuất,1002
12, Ngân hàng / Chứng khoán,982
21, Vận chuyển / Giao thông / Kho bãi,874
7, Chăm sóc sức khỏe / Y tế,795
47, Xây dựng,738
29, Bảo trì / Sửa chữa,710
49, Nghệ thuật / Thiết kế / Giải trí,675
20, Quản lý chất lượng (QA / QC),658
24, CNTT - Phần cứng / Mạng,648
39, Hóa chất / Sinh hóa / Thực phẩm,556
51, Lao động phổ thông,502
2, Nhân sự,499
23, Xuất nhập khẩu / Ngoại thương,407
40, Nông nghiệp / Lâm nghiệp,390
44, Bất động sản,374
48, Báo chí / Biên tập viên / Xuất bản,356
22, Vật tư / Mua hàng,348
1, Biên phiên dịch (tiếng Nhật),346
54, Quản lý điều hành,313
45, Kiến trúc,309
30, Điện lạnh / Nhiệt lạnh,295
50, Viễn Thông,288
46, Nội thất / Ngoại thất,280
28, Nhà hàng / Dịch vụ ăn uống,279
17, Thời trang,252
37, Dệt may / Da giày,218
3, Pháp lý / Luật,211
41, Ô tô,154
43, Thuỷ Hải Sản,153
34, Môi trường / Xử lý chất thải,145
27, Khách sạn,124
5, An Ninh / Bảo Vệ,116
35, An Toàn Lao Động,99
38, Đồ Gỗ,98
55, Khác,90
15, Hàng gia dụng,63
26, Du lịch,37
36, Dầu khí / Khoáng sản,27
53, Người nước ngoài,10
9, Phi chính phủ / Phi lợi nhuận,7
