,Industry,No. of Jobs
0,Bán hàng / Kinh doanh,3797
1,Ngân hàng,1950
2,Kế toán / Kiểm toán,1945
3,Tiếp thị / Marketing,1788
4,Tài chính / Đầu tư,1766
5,Dịch vụ khách hàng,1492
6,Bán lẻ / Bán sỉ,1348
7,CNTT - Phần mềm,1310
8,Hành chính / Thư ký,1229
9,Điện / Điện tử / Điện lạnh,1099
10,Cơ khí / Ô tô / Tự động hóa,1059
11,Sản xuất / Vận hành sản xuất,1015
12,Nhân sự,845
13,Xây dựng,838
14,Tư vấn,786
15,CNTT - Phần cứng / Mạng,786
16,Quản lý điều hành,780
17,Quảng cáo / Đối ngoại / Truyền Thông,746
18,Bất động sản,682
19,Vận chuyển / Giao nhận /  Kho vận,634
