,Industry,No. of Jobs
14, Bán hàng,2802
19, Tư vấn,2168
8, Dịch vụ khách hàng,1537
11, Kế toán / Kiểm toán,1297
33, Kỹ thuật ứng dụng / Cơ khí,1197
13, Tài chính / Đầu tư,1162
25, CNTT - Phần mềm,1123
18, Tiếp thị,1122
4, Thư ký / Hành chánh,995
32, Điện / Điện tử,939
52, Mới tốt nghiệp / Thực tập,894
16, Quảng cáo / Khuyến mãi / Đối ngoại,848
42, Sản xuất / Vận hành sản xuất,802
0, Biên phiên dịch / Thông dịch viên,794
10, Bảo hiểm,762
6, Bán lẻ / Bán sỉ,758
21, Vận chuyển / Giao thông / Kho bãi,709
29, Bảo trì / Sửa chữa,538
47, Xây dựng,529
49, Nghệ thuật / Thiết kế / Giải trí,516
20, Quản lý chất lượng (QA / QC),510
1, Biên phiên dịch (tiếng Nhật),477
12, Ngân hàng / Chứng khoán,476
24, CNTT - Phần cứng / Mạng,466
2, Nhân sự,443
51, Lao động phổ thông,441
23, Xuất nhập khẩu / Ngoại thương,369
22, Vật tư / Mua hàng,310
31, Dược / Sinh học,300
39, Hóa chất / Sinh hóa / Thực phẩm,276
44, Bất động sản,252
37, Dệt may / Da giày,249
7, Chăm sóc sức khỏe / Y tế,230
48, Báo chí / Biên tập viên / Xuất bản,212
30, Điện lạnh / Nhiệt lạnh,207
54, Quản lý điều hành,181
50, Viễn Thông,180
28, Nhà hàng / Dịch vụ ăn uống,180
46, Nội thất / Ngoại thất,179
45, Kiến trúc,173
3, Pháp lý / Luật,140
5, An Ninh / Bảo Vệ,99
41, Ô tô,96
34, Môi trường / Xử lý chất thải,87
27, Khách sạn,81
17, Thời trang,81
35, An Toàn Lao Động,73
40, Nông nghiệp / Lâm nghiệp,63
38, Đồ Gỗ,62
55, Khác,43
43, Thuỷ Hải Sản,42
15, Hàng gia dụng,28
26, Du lịch,27
36, Dầu khí / Khoáng sản,19
9, Phi chính phủ / Phi lợi nhuận,0
53, Người nước ngoài,0
