,Date,Site,Industry,No. of Jobs
0,2020-03-30,careerlink, Bán hàng,4478.0
1,2020-03-30,careerlink, Tư vấn,2864.0
2,2020-03-30,careerlink, Dịch vụ khách hàng,2474.0
3,2020-03-30,careerlink, Kế toán / Kiểm toán,2019.0
4,2020-03-30,careerlink, Kỹ thuật ứng dụng / Cơ khí,1738.0
0,2020-03-01,vietnamwork,Tài chính/Đầu tư,1787.0
1,2020-03-01,vietnamwork,Điện/Điện tử,1147.0
2,2020-03-01,vietnamwork,Xây dựng,1053.0
3,2020-03-01,vietnamwork,Cơ khí,987.0
4,2020-03-01,vietnamwork,Kiểm toán,928.0
0,2020-04-20,vietnamwork,Tài chính/Đầu tư,844.0
1,2020-04-20,vietnamwork,Điện/Điện tử,664.0
2,2020-04-20,vietnamwork,Cơ khí,540.0
3,2020-04-20,vietnamwork,Ngân hàng,532.0
4,2020-04-20,vietnamwork,Xây dựng,479.0
0,2020-03-30,careerbuilder,Bán hàng / Kinh doanh,3797.0
1,2020-03-30,careerbuilder,Ngân hàng,1950.0
2,2020-03-30,careerbuilder,Kế toán / Kiểm toán,1945.0
3,2020-03-30,careerbuilder,Tiếp thị / Marketing,1788.0
4,2020-03-30,careerbuilder,Tài chính / Đầu tư,1766.0
0,2020-04-04,careerbuilder,Bán hàng / Kinh doanh,3761.0
1,2020-04-04,careerbuilder,Ngân hàng,1975.0
2,2020-04-04,careerbuilder,Kế toán / Kiểm toán,1945.0
3,2020-04-04,careerbuilder,Tài chính / Đầu tư,1793.0
4,2020-04-04,careerbuilder,Tiếp thị / Marketing,1752.0
0,2020-04-04,careerlink, Bán hàng,4349.0
1,2020-04-04,careerlink, Tư vấn,2886.0
2,2020-04-04,careerlink, Dịch vụ khách hàng,2370.0
3,2020-04-04,careerlink, Kế toán / Kiểm toán,2007.0
4,2020-04-04,careerlink, Tiếp thị,1688.0
0,2020-03-16,vietnamwork,Tài chính/Đầu tư,1440.0
1,2020-03-16,vietnamwork,Điện/Điện tử,1041.0
2,2020-03-16,vietnamwork,Cơ khí,854.0
3,2020-03-16,vietnamwork,Xây dựng,800.0
4,2020-03-16,vietnamwork,Kiểm toán,781.0
