,Industry,No. of Jobs
62,Hành chính-Văn phòng,503.0
23,Nhân viên kinh doanh,441.0
18,Tư vấn,290.0
60,Kế toán-Kiểm toán,281.0
40,Bán hàng ,277.0
7,Kỹ thuật,262.0
48,Quản trị kinh doanh,173.0
5,Xây dựng,168.0
8,Điện-Điện tử-Điện lạnh,168.0
42,Cơ khí-Chế tạo,154.0
3,Lao động phổ thông,125.0
56,Kiến trúc-TK nội thất,97.0
49,Marketing-PR,95.0
47,Nhân sự,90.0
46,Thư ký-Trợ lý,86.0
17,Kho vận-Vật tư,84.0
65,Tài chính-Đầu tư,83.0
54,Ngoại thương-Xuất nhập khẩu,70.0
50,Ngân hàng,67.0
0,Thiết kế-Mỹ thuật,66.0
27,Thực phẩm-Đồ uống,65.0
43,Y tế-Dược,60.0
9,Khách sạn-Nhà hàng,57.0
41,Dệt may - Da giày,54.0
25,Dịch vụ,53.0
12,Công nghiệp,52.0
57,Biên-Phiên dịch,51.0
14,KD bất động sản,44.0
52,IT phần cứng/mạng,44.0
44,IT phần mềm,44.0
31,Hoá học-Sinh học,43.0
20,Vận tải,41.0
16,Tiếp thị-Quảng cáo,40.0
53,Thiết kế đồ hoạ web,39.0
1,Spa-Mỹ phẩm-Trang sức,35.0
35,Kỹ thuật ứng dụng,35.0
38,Ô tô - Xe máy,33.0
4,In ấn-Xuất bản,32.0
2,Ngành nghề khác,27.0
55,Hoạch định-Dự án,25.0
63,Pháp lý-Luật,20.0
10,Dầu khí-Hóa chất,19.0
64,Quan hệ đối ngoại,19.0
58,Thương mại điện tử,18.0
22,An ninh-Bảo vệ,18.0
24,Điện tử viễn thông,18.0
32,Nông-Lâm-Ngư nghiệp,17.0
28,Bảo hiểm,16.0
11,Thời trang,15.0
59,Báo chí-Truyền hình,13.0
33,Sinh viên làm thêm,12.0
29,Hàng hải,11.0
51,Du lịch,11.0
45,Giáo dục-Đào tạo,9.0
39,Làm bán thời gian,9.0
61,Công nghệ cao,7.0
36,Tổ chức sự kiện-Quà tặng,5.0
34,Hàng không,4.0
37,Chứng khoán- Vàng,4.0
21,Hàng gia dụng,4.0
6,Thủ công mỹ nghệ,4.0
13,Người giúp việc,3.0
19,Game,2.0
66,Nghệ thuật - Điện ảnh,2.0
67,Thực tập,2.0
26,Promotion Girl (PG),1.0
15,Bưu chính,1.0
30,NV trông quán Internet,0.0
