,Industry,No. of Jobs
11,Tài chính/Đầu tư,1053
22,Điện/Điện tử,725
23,Cơ khí,611
9,Ngân hàng,584
0,Xây dựng,583
10,Kiểm toán,517
6,Quảng cáo/Khuyến mãi/Đối ngoại,396
7,Internet/Online Media,379
44,Vận chuyển/Giao nhận,357
41,Giáo dục/Đào tạo,355
2,Bất động sản,336
1,Kiến trúc/Thiết kế nội thất,327
16,Bán lẻ/Bán sỉ,312
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,277
43,Tư vấn,250
30,Tự động hóa/Ô tô,248
14,Hàng tiêu dùng,230
17,Thực phẩm & Đồ uống,204
32,Sản phẩm công nghiệp,197
42,Y tế/Chăm sóc sức khỏe,188
35,Y tế/Chăm sóc sức khỏe,188
13,Bảo hiểm,186
3,Viễn Thông,157
24,Hóa học/Hóa sinh,154
29,Dược Phẩm/Công nghệ sinh học,140
45,Kho vận,136
4,Truyền hình/Truyền thông/Báo chí,133
12,Chứng khoán,124
33,Công nghệ cao,124
26,Điện lạnh/Nhiệt lạnh,116
21,Nhà hàng/Khách sạn,109
28,Dệt may/Da giày,108
25,Môi trường/Xử lý chất thải,90
31,Nông nghiệp/Lâm nghiệp,81
18,Thời trang,67
38,Dược sĩ,56
39,Trình dược viên,55
46,Hàng hải,54
40,Phi chính phủ/Phi lợi nhuận,52
15,Hàng gia dụng,38
27,Dầu khí,35
20,Hàng không/Du lịch,34
8,In ấn/ Xuất bản,32
19,Hàng cao cấp,23
34,Địa chất/Khoáng sản,18
36,Bác sĩ,13
37,Y sĩ/Hộ lý,13
