,Industry,No. of Jobs
41,Nhân viên kinh doanh,282.0
26,Tư vấn,214.0
49,Hành chính-Văn phòng,209.0
17,Bán hàng ,203.0
10,Kỹ thuật,152.0
42,Xây dựng,117.0
57,Kế toán-Kiểm toán,111.0
2,Cơ khí-Chế tạo,102.0
32,Điện-Điện tử-Điện lạnh,102.0
43,Quản trị kinh doanh,100.0
4,Lao động phổ thông,70.0
54,Marketing-PR,68.0
50,Kiến trúc-TK nội thất,59.0
61,Tài chính-Đầu tư,57.0
53,Ngân hàng,53.0
29,Thực phẩm-Đồ uống,50.0
25,Kho vận-Vật tư,50.0
47,Nhân sự,50.0
38,KD bất động sản,46.0
62,Y tế-Dược,45.0
22,Thiết kế-Mỹ thuật,45.0
44,Thư ký-Trợ lý,42.0
16,Công nghiệp,41.0
27,Dịch vụ,39.0
45,Thiết kế đồ hoạ web,36.0
23,Hoá học-Sinh học,34.0
39,Vận tải,28.0
56,IT phần mềm,28.0
18,Tiếp thị-Quảng cáo,28.0
37,Khách sạn-Nhà hàng,27.0
48,Ngoại thương-Xuất nhập khẩu,27.0
30,Kỹ thuật ứng dụng,25.0
46,Biên-Phiên dịch,23.0
34,In ấn-Xuất bản,22.0
5,Spa-Mỹ phẩm-Trang sức,21.0
60,IT phần cứng/mạng,21.0
28,Bảo hiểm,20.0
12,Dệt may - Da giày,19.0
9,Điện tử viễn thông,19.0
64,Giáo dục-Đào tạo,19.0
14,Nông-Lâm-Ngư nghiệp,18.0
13,Ô tô - Xe máy,17.0
58,Hoạch định-Dự án,15.0
66,Thương mại điện tử,13.0
52,Pháp lý-Luật,12.0
55,Báo chí-Truyền hình,12.0
19,Sinh viên làm thêm,11.0
21,Ngành nghề khác,11.0
0,Hàng hải,10.0
33,Hàng gia dụng,10.0
1,Dầu khí-Hóa chất,9.0
24,Thời trang,9.0
35,Làm bán thời gian,8.0
40,An ninh-Bảo vệ,6.0
51,Quan hệ đối ngoại,6.0
59,Công nghệ cao,5.0
20,Chứng khoán- Vàng,4.0
65,Du lịch,3.0
3,Promotion Girl (PG),2.0
15,Bưu chính,2.0
31,Thủ công mỹ nghệ,2.0
8,Người giúp việc,1.0
7,Hàng không,1.0
6,Game,1.0
36,Tổ chức sự kiện-Quà tặng,1.0
67,Thực tập,1.0
11,NV trông quán Internet,0.0
63,Nghệ thuật - Điện ảnh,0.0
