,Industry,No. of Jobs
11,Tài chính/Đầu tư,993
22,Điện/Điện tử,724
0,Xây dựng,623
9,Ngân hàng,580
23,Cơ khí,536
6,Quảng cáo/Khuyến mãi/Đối ngoại,438
10,Kiểm toán,434
7,Internet/Online Media,433
44,Vận chuyển/Giao nhận,374
2,Bất động sản,366
16,Bán lẻ/Bán sỉ,357
41,Giáo dục/Đào tạo,337
1,Kiến trúc/Thiết kế nội thất,313
5,Mỹ Thuật/Nghệ Thuật/Thiết Kế,301
43,Tư vấn,251
30,Tự động hóa/Ô tô,246
14,Hàng tiêu dùng,224
42,Y tế/Chăm sóc sức khỏe,218
35,Y tế/Chăm sóc sức khỏe,218
17,Thực phẩm & Đồ uống,203
28,Dệt may/Da giày,191
13,Bảo hiểm,170
4,Truyền hình/Truyền thông/Báo chí,170
24,Hóa học/Hóa sinh,170
45,Kho vận,168
32,Sản phẩm công nghiệp,166
29,Dược Phẩm/Công nghệ sinh học,143
3,Viễn Thông,139
26,Điện lạnh/Nhiệt lạnh,129
12,Chứng khoán,118
33,Công nghệ cao,117
21,Nhà hàng/Khách sạn,114
25,Môi trường/Xử lý chất thải,98
18,Thời trang,88
31,Nông nghiệp/Lâm nghiệp,86
39,Trình dược viên,70
38,Dược sĩ,68
46,Hàng hải,51
20,Hàng không/Du lịch,47
8,In ấn/ Xuất bản,42
40,Phi chính phủ/Phi lợi nhuận,41
27,Dầu khí,38
15,Hàng gia dụng,37
19,Hàng cao cấp,24
36,Bác sĩ,21
37,Y sĩ/Hộ lý,20
34,Địa chất/Khoáng sản,19
